date,level,speed,units,azimuth,latitude,longitude
2024-06-18,150,138.27,kts,74,-26.0,149.0
2024-06-19,150,137.11,kts,120,-30.0,304.0
2024-06-20,150,142.33,kts,90,-31.0,156.0
2024-06-21,150,139.45,kts,85,-34.0,318.0
2024-06-22,150,136.41,kts,93,-35.0,347.0
2024-06-23,150,148.18,kts,84,-26.0,205.0
2024-06-24,150,143.03,kts,93,-26.0,209.0
2024-06-25,150,146.28,kts,96,-30.0,289.0
2024-06-26,150,150.08,kts,99,-31.0,303.0
2024-06-27,150,140.80,kts,87,-30.0,324.0
2024-06-28,200,161.41,kts,67,43.0,173.0
2024-06-28,200,166.17,kts,94,-33.0,289.0
2024-06-29,200,146.78,kts,73,-43.0,52.0
2024-06-29,200,159.62,kts,91,-30.0,305.0
2024-06-30,200,153.57,kts,120,-35.0,197.0
2024-06-30,200,158.32,kts,104,-32.0,328.0
2024-07-01,200,158.82,kts,106,-44.0,211.0
2024-07-01,200,170.24,kts,95,-31.0,153.0
2024-07-02,200,180.59,kts,81,54.0,315.0
2024-07-02,200,172.46,kts,72,-32.0,54.0
2024-07-03,150,142.59,kts,84,-33.0,289.0
